match_id,date,opponent,venue,shots,xg,final_third_entries,box_entries,progressive_actions,build_up_exits,high_regains
3912596,2023-10-01,Everton LFC,away,13.0,1.714584251,28.0,13.0,68.0,4.0,19.0
3912599,2023-10-08,West Ham United LFC,home,14.0,0.96877268,44.0,22.0,84.0,8.0,17.0
3913074,2023-10-15,Tottenham Hotspur Women,home,8.0,0.869245763,33.0,14.0,82.0,2.0,10.0
3913077,2023-10-22,Chelsea FCW,away,7.0,1.388386981,26.0,10.0,78.0,6.0,7.0
3913082,2023-11-05,Manchester United W,home,11.0,1.233259925,24.0,14.0,65.0,10.0,15.0
3913088,2023-11-12,Manchester City WFC,away,6.0,1.0538950200000001,19.0,7.0,65.0,7.0,9.0
3913097,2023-11-19,Arsenal WFC,home,7.0,0.392471682,35.0,11.0,83.0,9.0,17.0
3913099,2023-11-26,Liverpool WFC,away,8.0,0.680936914,40.0,10.0,64.0,7.0,18.0
3913106,2023-12-10,Leicester City WFC,home,17.0,1.857595955,31.0,19.0,76.0,7.0,11.0
3913115,2023-12-17,Aston Villa W,away,7.0,0.396865825,37.0,8.0,87.0,9.0,9.0
3913122,2024-01-21,Bristol City WFC,home,8.0,0.708316711,43.0,12.0,98.0,1.0,22.0
3913123,2024-01-27,Chelsea FCW,home,5.0,0.14012503399999998,31.0,7.0,66.0,7.0,14.0
3913133,2024-02-04,Manchester United W,away,4.0,0.32768026,21.0,10.0,55.0,3.0,15.0
3913137,2024-02-18,Liverpool WFC,home,10.0,0.3386955635,25.0,17.0,91.0,7.0,16.0
3913146,2024-03-03,Bristol City WFC,away,19.0,4.633573895,50.0,21.0,78.0,0.0,18.0
3913150,2024-03-17,Manchester City WFC,home,3.0,0.3181490387,24.0,4.0,53.0,2.0,11.0
3913157,2024-03-24,Leicester City WFC,away,12.0,2.310373365,23.0,9.0,67.0,6.0,7.0
3913164,2024-03-31,West Ham United LFC,away,10.0,0.8386176359999999,32.0,14.0,84.0,4.0,10.0
3913166,2024-04-19,Everton LFC,home,15.0,1.606437698,39.0,13.0,77.0,7.0,21.0
3913172,2024-04-28,Tottenham Hotspur Women,away,8.0,1.2980501055,35.0,14.0,65.0,8.0,18.0
3913182,2024-05-04,Aston Villa W,home,10.0,0.554174165,27.0,11.0,73.0,9.0,21.0
3913185,2024-05-18,Arsenal WFC,away,7.0,0.941037774,28.0,6.0,58.0,5.0,10.0
